data_variant,feature_set,best_balanced_accuracy_cv,refit_time,C,penalty,solver,n_components
team_last_20,no_totals,0.6324,0.0132,0.25,l1,liblinear,15.0
team_last_30,no_totals,0.6314,0.0132,0.25,l1,liblinear,15.0
team_last_40,no_totals,0.6298,0.0123,0.25,l1,liblinear,15.0
team_last_30,no_prc,0.6295,0.0199,0.25,l2,liblinear,10.0
team_last_20,no_prc,0.6294,0.0283,0.25,l1,liblinear,
team_all_season,no_totals,0.6289,0.0,0.75,l1,liblinear,5.0
team_last_20,all,0.6285,0.0234,1.25,l1,liblinear,15.0
team_last_40,no_prc,0.6276,0.0154,0.75,l2,liblinear,10.0
team_all_season,no_prc,0.627,0.018,0.25,l1,liblinear,
team_last_30,all,0.6259,0.0269,1.25,l1,liblinear,10.0
team_all_season,all,0.6259,0.0314,0.25,l1,liblinear,
team_last_40,all,0.6246,0.0224,0.25,l2,liblinear,15.0
